instance_type,start_time,hostname,ssd_device,writer_threads,runtime_seconds,preinitialize,capacity_fraction,max_iops,iops,utilization_iop,use_fsync,uuid,spiky,min,max,p50th,p75th,p90th,p99th,p999th
i3en.24xlarge,1721217727,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,true,0.5,200000,100000,0.5,true,229849707423958618508026934132817353356,false,21376,673967,28148,29814,32385,58145,74290
i3en.24xlarge,1721218027,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,true,0.5,200000,120000,0.6,true,105377706039297874203179005182597050340,false,22030,2677332,33333,36431,38915,66272,82386
i3en.24xlarge,1721218327,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,true,0.5,200000,140000,0.7,true,225885033233401729378603507273397738074,false,24740,2793901,42879,46458,48671,76482,92886
i3en.24xlarge,1721218627,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,true,0.5,200000,160000,0.8,true,300167715987691977908318192316848001356,false,26075,4582065,45309,49200,51965,79832,101363
i3en.24xlarge,1721218927,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,162416253999668905457929228151732430215,true,55094,1074886,121094,138253,144008,157771,174515
i3en.24xlarge,1721219227,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,259723863620189399517907595622721339401,true,24158,6146501,122415,139762,145498,160728,182425
i3en.24xlarge,1721219527,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,33190802925585067119748949378792899143,true,25468,3111623,122185,138701,144820,157612,174998
i3en.24xlarge,1721219827,ip-172-31-22-36.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,141353146294345272800069618880407327149,true,67867,3360067,122334,139701,145316,158142,179079
