instance_type,start_time,hostname,ssd_device,writer_threads,runtime_seconds,preinitialize,capacity_fraction,max_iops,iops,utilization_iop,use_fsync,uuid,spiky,min,max,p50th,p75th,p90th,p99th,p999th
i3en.12xlarge,1721206687,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,219599203640654043056955896029204406379,true,74572,1424532,120810,133478,140499,160225,177808
i3en.12xlarge,1721206987,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,69625952883025492393521848931222048903,true,57708,8571063,120810,134837,140968,160267,177833
i3en.12xlarge,1721207288,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,104853097888941577410300232693970211462,true,56068,3277625,119326,134297,140246,159609,179824
i3en.12xlarge,1721207588,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,277504604222713046720281152866061731641,true,45749,4992868,120390,134706,141157,160537,182291
i3en.12xlarge,1721207888,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,258890428923379709321681366295489440628,false,26444,7384507,35571,37744,40954,65707,91660
i3en.12xlarge,1721208188,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,48607070338427160759188669037587188805,false,26683,3032657,42554,45574,48659,76153,303256
i3en.12xlarge,1721208488,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,302985314786071167088656001138329291682,false,27644,2857895,49579,53068,56674,84406,303092
i3en.12xlarge,1721208788,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,324552759076013797205621259314131697058,false,28866,4901125,51518,55152,59483,88253,275672
i3en.12xlarge,1721210386,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,134718904242704832688509888179231639506,false,26065,1812647,35553,37784,41136,67049,91279
i3en.12xlarge,1721210686,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,129591645718756931015209310946182282216,false,27737,3287902,42527,45520,48528,75295,312681
i3en.12xlarge,1721210986,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,318034359415231888993916767297234848709,false,29569,8010346,49574,52987,56500,84748,303381
i3en.12xlarge,1721211286,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,274443868677890622232226753286988176151,false,29654,3708497,51513,55076,59377,88621,275720
i3en.12xlarge,1721211586,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,300374848237682921417663201979501611619,true,64521,2871812,119782,133835,140348,160220,178266
i3en.12xlarge,1721211886,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,276506658024853995045564509153204487598,true,44404,6130511,119581,134310,140457,159548,176538
i3en.12xlarge,1721212186,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,263537263950525080978739196140345463529,true,57050,1888305,120155,134720,140809,157983,178511
i3en.12xlarge,1721212486,ip-172-31-38-184.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,139892065027708933714139162798719692602,true,68347,4736679,119557,134004,140094,157017,176132
